DATASET_ID,DATASET_NAME,KEY_FIELD_NAME,KEY_FIELD_ROLE,IS_REQUIRED,IS_PRESENT_IN_SCHEMA,HAS_APPROVED_DEFINITION,APPROVED_DEFINITION_TEXT,CATALOG_URL,LAST_PROFILED_AT,NULL_PCT,DISTINCT_COUNT,ROW_COUNT
DS_POSITION_REPORT,Workday Position Report,TWID,PRIMARY,True,True,False,,,2026-05-06 09:37:37.272895,0.036,76247,497507
DS_POSITION_REPORT,Workday Position Report,POSITION_ID,JOIN,True,True,False,,,2026-05-05 10:37:37.273167,0.0236,411068,158896
DS_POSITION_REPORT_VW,Position Report Public View,TWID,PRIMARY,True,True,True,,,2026-05-06 09:37:37.273418,0.0069,741485,714332
DS_POSITION_REPORT_VW,Position Report Public View,POSITION_ID,JOIN,True,True,True,,,2026-05-05 20:37:37.273666,0.0465,360917,243152
DS_TRENDED_REPORT,Workday Trended Report,TWID,PRIMARY,True,True,True,,,2026-05-05 14:37:37.273915,0.0404,662277,285245
DS_TRENDED_REPORT,Workday Trended Report,POSITIONID,JOIN,True,True,True,,,2026-05-05 20:37:37.274157,0.0293,55268,875093
DS_TRENDED_REPORT_VW,Trended Report Public View,TWID,PRIMARY,True,True,False,,,2026-05-05 16:37:37.274397,0.0329,156516,359320
DS_TRENDED_REPORT_VW,Trended Report Public View,POSITIONID,JOIN,True,True,True,,,2026-05-06 01:37:37.274637,0.0433,594957,630591
DS_WORKPLACE_TRANSITION,Workplace Transition / RTO,TWID,PRIMARY,True,True,False,,,2026-05-06 03:37:37.274880,0.0998,261334,819705
DS_WORKPLACE_TRANSITION,Workplace Transition / RTO,POSITION_ID,JOIN,True,True,True,,,2026-05-06 04:37:37.275130,0.0693,370889,160433
DS_WORKPLACE_TRANSITION,Workplace Transition / RTO,BADGE_EVENT_TS,JOIN,True,True,True,,,2026-05-05 22:37:37.275369,0.0402,536181,849260
DS_BEELINE_CONSO,Beeline Consolidated (FPA),EmployeeID,PRIMARY,True,True,False,,,2026-05-06 02:37:37.275609,0.0559,348738,734049
DS_BEELINE_CONSO,Beeline Consolidated (FPA),CostCenter,JOIN,True,True,True,,,2026-05-06 08:37:37.275844,0.0473,546313,591247
DS_BEELINE_CONSO,Beeline Consolidated (FPA),ManagerID,JOIN,True,True,True,,,2026-05-06 10:37:37.276063,0.0586,637677,718885
DS_BEELINE_WORKER,Beeline WBD Worker (FPA),EmployeeID,PRIMARY,True,True,False,,,2026-05-06 06:37:37.276284,0.0606,624802,522299
DS_BEELINE_WORKER,Beeline WBD Worker (FPA),CostCenter,JOIN,True,True,True,,,2026-05-06 01:37:37.276498,0.0352,197139,147350
DS_BEELINE_WORKER,Beeline WBD Worker (FPA),ManagerID,JOIN,True,False,False,,,2026-05-05 20:37:37.276710,1.0,0,450431
