DATASET_ID,DATASET_NAME,DATASET_FQN,DOMAIN,LAYER,SCORE_RUN_DATE,BATCH_ID,DIM_OWNERSHIP_SCORE,DIM_OWNERSHIP_STATUS,DIM_OWNERSHIP_OWNER_NAME,DIM_OWNERSHIP_LAST_CONFIRMED,DIM_SOURCE_SCORE,DIM_SOURCE_STATUS,DIM_SOURCE_SYSTEM,DIM_SOURCE_TIER,DIM_ISSUES_SCORE,DIM_ISSUES_STATUS,DIM_ISSUES_OPEN_P1,DIM_ISSUES_OPEN_P2,DIM_ISSUES_OPEN_P3,DIM_ISSUES_LAST_FAILURE_AT,DIM_TIMELINESS_SCORE,DIM_TIMELINESS_STATUS,DIM_TIMELINESS_MAX_LOAD_DATE,DIM_TIMELINESS_SLA_HOURS,DIM_TIMELINESS_HOURS_LATE,DIM_COMPLETENESS_KEY_PROPS_SCORE,DIM_COMPLETENESS_KEY_PROPS_STATUS,DIM_COMPLETENESS_KEYS_CHECKED,DIM_COMPLETENESS_WORST_KEY,DIM_COMPLETENESS_WORST_KEY_NULL_PCT,DIM_PROFILING_SCORE,DIM_PROFILING_STATUS,DIM_PROFILING_CHECKS_TOTAL,DIM_PROFILING_CHECKS_PASSED,DIM_DEFINITIONS_SCORE,DIM_DEFINITIONS_STATUS,DIM_DEFINITIONS_FIELDS_TOTAL,DIM_DEFINITIONS_FIELDS_DEFINED,DIM_KEY_PROPERTIES_SCORE,DIM_KEY_PROPERTIES_STATUS,DIM_KEY_PROPERTIES_REQUIRED,DIM_KEY_PROPERTIES_PRESENT,DIM_USAGE_SCORE,DIM_USAGE_STATUS,DIM_USAGE_UNIQUE_CONSUMERS_30D,DIM_USAGE_QUERIES_30D,DIM_FEEDBACK_SCORE,DIM_FEEDBACK_STATUS,DIM_FEEDBACK_AVG_RATING,DIM_FEEDBACK_RESPONSES_90D,TRUST_SCORE_OVERALL,TRUST_SCORE_TIER,LOAD_DATE,LOAD_BY
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-05,e987eef9,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,96,GREEN,0,1,1,2026-01-29 09:00:00,99.30635620687801,GREEN,2026-02-04 20:30:14.527018,168,3.5,97.17041181711562,GREEN,"TWID,POSITION_ID",POSITION_ID,2.83,87.5,GREEN,24,21,50.0,RED,94,47,100.0,GREEN,2,2,8.333333333333334,RED,5,154,89.52274027094981,GREEN,4.48,8,82.81,SILVER,2026-05-06 15:37:37.277727,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-06,34028b89,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,97,GREEN,0,1,0,2026-01-29 12:00:00,96.11192115313283,GREEN,2026-02-05 04:24:14.697402,168,19.6,97.29787579174595,GREEN,"TWID,POSITION_ID",POSITION_ID,2.7,83.33333333333333,GREEN,24,20,53.84615384615385,RED,130,70,100.0,GREEN,2,2,18.333333333333332,RED,11,355,72.93768425938137,AMBER,3.65,10,82.24,SILVER,2026-05-06 15:37:37.281356,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-07,7ccc41a5,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,90,GREEN,1,0,0,2026-01-31 07:00:00,100.0,GREEN,2026-02-07 00:00:00.000000,168,0.0,98.70146218996204,GREEN,"TWID,POSITION_ID",POSITION_ID,1.3,83.33333333333333,GREEN,24,20,54.861111111111114,RED,144,79,100.0,GREEN,2,2,20.0,RED,12,560,83.4680398017749,GREEN,4.17,4,82.75,SILVER,2026-05-06 15:37:37.283759,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-08,b05c1384,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,99,GREEN,0,0,1,2026-02-05 12:00:00,99.0293928434305,GREEN,2026-02-07 19:06:29.303751,168,4.89,97.36771420611795,GREEN,"TWID,POSITION_ID",POSITION_ID,2.63,83.33333333333333,GREEN,24,20,52.42718446601942,RED,206,108,100.0,GREEN,2,2,8.333333333333334,RED,5,215,91.2570769421421,GREEN,4.56,9,82.92,SILVER,2026-05-06 15:37:37.286198,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-09,ed2cd2c0,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,96,GREEN,0,1,1,2026-02-03 11:00:00,97.55176348255424,GREEN,2026-02-08 11:39:39.196627,168,12.34,94.88763316073613,GREEN,"TWID,POSITION_ID",TWID,5.11,87.5,GREEN,24,21,54.037267080745345,RED,161,87,100.0,GREEN,2,2,6.666666666666667,RED,4,111,77.89216343529756,AMBER,3.89,10,82.0,SILVER,2026-05-06 15:37:37.288230,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-10,ddc307e7,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,90,GREEN,0,3,1,2026-02-06 02:00:00,97.46778252221053,GREEN,2026-02-09 11:14:15.446083,168,12.76,96.70685709593425,GREEN,"TWID,POSITION_ID",POSITION_ID,3.29,91.66666666666667,GREEN,24,22,59.375,RED,96,57,100.0,GREEN,2,2,21.666666666666668,RED,13,458,74.73246447025079,AMBER,3.74,6,83.22,SILVER,2026-05-06 15:37:37.290257,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-11,73d7941b,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,94,GREEN,0,2,0,2026-02-03 06:00:00,93.25570892177782,GREEN,2026-02-09 14:00:31.582677,168,33.99,97.48051148914043,GREEN,"TWID,POSITION_ID",POSITION_ID,2.52,70.83333333333333,AMBER,24,17,52.38095238095238,RED,42,22,100.0,GREEN,2,2,10.0,RED,6,179,78.04833736734652,AMBER,3.9,9,79.6,SILVER,2026-05-06 15:37:37.292281,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-12,bbe8f9d7,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,86,GREEN,1,1,1,2026-02-05 00:00:00,96.99550251953168,GREEN,2026-02-11 08:51:26.397714,168,15.14,93.34333299990692,GREEN,"TWID,POSITION_ID",POSITION_ID,6.66,91.66666666666667,GREEN,24,22,49.152542372881356,RED,59,29,100.0,GREEN,2,2,16.666666666666668,RED,10,326,78.78746818819114,AMBER,3.94,4,81.25,SILVER,2026-05-06 15:37:37.294342,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-13,40588a74,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,98,GREEN,0,0,2,2026-02-12 00:00:00,94.33477860955801,GREEN,2026-02-11 19:26:50.223092,168,28.55,99.03711373582522,GREEN,"TWID,POSITION_ID",TWID,0.96,79.16666666666667,AMBER,24,19,60.74766355140187,AMBER,107,65,100.0,GREEN,2,2,6.666666666666667,RED,4,105,100.0,GREEN,5.0,5,82.79,SILVER,2026-05-06 15:37:37.296225,prototype
DS_POSITION_REPORT,Workday Position Report,EDLE_DW_DB.PNC_DATA.DT_POSITION_REPORT,P&C,SILVER,2026-02-14,620dd864,60.0,AMBER,Paul Field,,100,GREEN,Workday,CORE,97,GREEN,0,1,0,2026-02-09 05:00:00,100.0,GREEN,2026-02-14 00:00:00.000000,168,0.0,99.57309482904762,GREEN,"TWID,POSITION_ID",TWID,0.43,91.66666666666667,GREEN,24,22,52.23880597014925,RED,67,35,100.0,GREEN,2,2,23.333333333333332,RED,14,610,87.63042398574088,GREEN,4.38,6,84.86,SILVER,2026-05-06 15:37:37.298053,prototype
